Jornada;HoraP1;HoraP2;GRAVEDAD_ACCIDENTE;CLASE_ACCIDENTE;direccion_normalizada;tipo_principal;num_principal;tipo_secundaria;num_secundaria;FRECUENCIA;Heridos;Muertos;Material;YEAR;MES;DIA;Ponderacion;Riesgo
Tarde;No;No;Material;Choque;AV 110 CR 37;AV;110;CR;37;1;no;no;no;2018;December;Wed;4.33;Bajo
Morning;No;No;Heridos;Choque;AV 110 CR 37;AV;110;CR;37;2;si;no;no;2021;March;Tue;6.0;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 37;AV;110;CR;37;2;no;no;no;2021;August;Fri;5.33;Bajo
Morning;No;No;Heridos;Choque;AV 110 CR 38;AV;110;CR;38;5;si;no;no;2018;January;Mon;7.0;Moderado
Morning;No;No;Material;Choque;AV 110 CR 38;AV;110;CR;38;5;no;no;no;2018;January;Wed;6.0;Bajo
Noche;No;Si;Heridos;Choque;AV 110 CR 38;AV;110;CR;38;5;si;no;no;2018;July;Sun;10.67;Alto
Morning;Si;No;Material;Choque;AV 110 CR 38;AV;110;CR;38;2;no;no;no;2019;February;Tue;8.0;Moderado
Noche;No;No;Material;Choque;AV 110 CR 38;AV;110;CR;38;5;no;no;no;2019;April;Sat;6.67;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 38;AV;110;CR;38;5;no;no;no;2019;October;Wed;6.33;Moderado
Morning;No;No;Heridos;Choque;AV 110 CR 38;AV;110;CR;38;2;si;no;no;2021;May;Thu;6.0;Bajo
Morning;No;No;Material;Choque;AV 110 CR 38A;AV;110;CR;38A;1;no;no;no;2019;November;Fri;4.0;Bajo
Noche;No;No;Material;Choque;AV 110 CR 42B;AV;110;CR;42B;1;no;no;no;2019;June;Sat;4.67;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 43;AV;110;CR;43;6;no;no;no;2019;August;Tue;6.33;Moderado
Morning;No;No;Material;Choque;AV 110 CR 43;AV;110;CR;43;8;no;no;no;2019;September;Mon;6.0;Bajo
Morning;No;No;Material;Choque;AV 110 CR 43;AV;110;CR;43;6;no;no;no;2019;September;Tue;6.0;Bajo
Noche;No;No;Material;Volcamiento;AV 110 CR 43;AV;110;CR;43;8;no;no;no;2019;October;Fri;6.67;Moderado
Morning;No;No;Material;Choque;AV 110 CR 43;AV;110;CR;43;8;no;no;no;2019;November;Fri;6.0;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 43;AV;110;CR;43;6;no;no;no;2019;November;Wed;6.33;Moderado
Noche;No;No;Heridos;Choque;AV 110 CR 43;AV;110;CR;43;8;si;no;no;2019;November;Sun;7.67;Moderado
Noche;No;Si;Heridos;Choque;AV 110 CR 43;AV;110;CR;43;6;si;no;no;2020;February;Sat;10.67;Alto
Noche;No;Si;Material;Choque;AV 110 CR 43;AV;110;CR;43;6;no;no;no;2020;February;Sat;9.67;Moderado
Morning;No;No;Material;Choque;AV 110 CR 43;AV;110;CR;43;8;no;no;no;2021;March;Mon;6.0;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 43;AV;110;CR;43;6;no;no;no;2021;March;Fri;6.33;Moderado
Morning;No;No;Heridos;Choque;AV 110 CR 43;AV;110;CR;43;8;si;no;no;2021;April;Thu;7.0;Moderado
Noche;No;No;Material;Choque;AV 110 CR 43;AV;110;CR;43;8;no;no;no;2021;July;Sat;6.67;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 43;AV;110;CR;43;8;no;no;no;2021;September;Fri;6.33;Moderado
Morning;No;No;Material;Choque;AV 110 CR 45;AV;110;CR;45;1;no;no;no;2019;November;Fri;4.0;Bajo
Noche;No;Si;Material;Choque;AV 110 CR 46;AV;110;CR;46;3;no;no;no;2018;April;Sun;9.67;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 46;AV;110;CR;46;3;no;no;no;2018;April;Wed;6.33;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 46;AV;110;CR;46;5;no;no;no;2018;July;Sat;6.33;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 46;AV;110;CR;46;5;no;no;no;2018;September;Mon;6.33;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 46;AV;110;CR;46;3;no;no;no;2019;January;Sat;6.33;Moderado
Noche;No;Si;Material;Choque;AV 110 CR 46;AV;110;CR;46;5;no;no;no;2019;November;Wed;9.67;Moderado
Tarde;No;No;Heridos;Choque;AV 110 CR 46;AV;110;CR;46;5;si;no;no;2020;April;Sun;7.33;Moderado
Noche;No;No;Material;Choque;AV 110 CR 46;AV;110;CR;46;5;no;no;no;2021;August;Mon;6.67;Moderado
Noche;No;Si;Material;Choque;AV 110 CR 48;AV;110;CR;48;1;no;no;no;2018;December;Sun;7.67;Moderado
Morning;Si;No;Heridos;Choque;AV 110 CR 51B;AV;110;CR;51B;1;si;no;no;2018;April;Mon;8.0;Moderado
